en_phrases
"Fulkoli Food Products Limited, "
"The Khan Pharma, "
"Niribili Rice Hotel, "
"Mondol Market, "
"Amtola Banishanta Sorbajanin Durga Mondir, "
"Sarishabari R.D.M Pilot High School, "
"National Academy for Primary Education, "
"BADC, "
"Dakkhin koralia madrasha & mosjid, "
"Natural Health Care, "
"Chapra Masjid, "
"Noor Villa, "
"Haier Banasree Shop, "
"Chandibarpur, "
"Fit Elegence, "
"Plan Bangladesh Country Office, "
"Trimatrik CNG Filling Station, "
"Muhammed Arabi Jalfizul Quran School, "
Road of 48 no.Batamara Govt.prmary school
"Community Clinic of Howlader house, "
"Nurani Dawakhana, "
"Kajipara Government Primary School, "
"A.B Musa, "
DC Office New Court Bus Stop
"Mohammadia Pharmacy, "
"Chanu Hang House font Jame Mosque, "
"Babu, "
"Sakib Telecom, "
"Nanikhir High School, "
"Hasara Filling Station, "
"Cantonment Cinema Hall, "
"Dipon Group, "
"Mim Alif enterprise, "
"MD.Suliman. MA, "
Brihospotipur Mosque Road-1
"Bhaduria Bazar Bus Stop, "
"Savar-1, "
"Narsingdi Sadar Hospital, "
"Anowara Filling Station, "
"Khetlal, "
"Nowar Filling Station, "
"Champaknagar Model School and College, "
"Nazrul Mancha, "
"Bakshadangi Bazar Mosjid, "
"Asian Pharmacy, "
"New Ahmed Pharmacy, "
"Dhalpur Bazar Mosjid, "
"Water Supply, "
Mohanpur Dargah Para-Kapasiapara Road
"Nowshin Pharmacy, "
"Gouripur Stamford Internation School, "
"Serial house, "
"Joyoti Hotel, "
"Juel Refrezaration, "
"Youth Development Center, "
"shishir kutir, "
"Sharifpur village, "
"Professor Iajuddin Residential Model College Jame Masjid, "
"Filling station, "
"Trisal, "
"Mohammadia Talamul Quran Madrasa, "
"Laskarpur Eidgah, "
"Save & Save, "
"Institute of Library Arts Commerce and Sciences, "
"Miridha Bari, "
"Jan Mahmud Mridha Jami Mosque, "
"Shamim Kindergarten And Coaching Center, "
"Deshi, "
"Sufiyan Store, "
"Comilla Mathrivandar sweet shop, "
Duyar ali mor form three tali bodhiyo mor road
"Sri Sri Modonmuhon Temple Sreepur Jomidr Bari, "
"SDF office, "
"Molla House mosque, "
"BL CNG Pump, "
Dohazari-Jamijuri Road
"Machranga Filling Station, "
"Merina Hotel, "
"Rekha Proshiddho Dry Wash & Laundry-2, "
"Post E Center Panchbaria-6623, "
"Barfi Restaurant, "
"Selim Training Corporation, "
"Antara Steel Ind Profile Tin, "
"Safe It Service, "
Naragati- Lohagara Rd
"Dada Hairdresser, "
Polytechnic Road
Sluice Katcha Rasta
Dania-Dolairpar Road
"Ruchita Restaurant & Mini Chinese, "
"Dhanpur, "
"upazila Health Complex, "
Alia Madrasha South Kalabagi Fantu Para Iron Pole
"Mirror Hospital Limited., "
"UCB Bank Atm, "
"Ghoroa Hotel, "
"Sunitala, "
"Ma Amina Vabon, "
"Khajuria Bina Pani Gov. Primary School, "
"Akboria Restaurant, "
"Gokarnaghat Bazar, "
"BTRC, "
"Duha Kha, "
"Ripon Stor, "
"Church of Bangladesh Kushtia Diosis, "
"Sheba Clinic, "
"HARUN VERITIES STORE, "
"Sojol Motors, "
"Shahid Khokon Childrens' Park, "
"Bishmile Field, "
"S.R Messers Trader, "
"Sheikh Motors, "
Dr Nirmal Chandra Dhar Road
Datter Metho Culvert
"Dhoni, "
"Al modina Steel, "
"Asian Kitchen, "
"Mamun Rice Agency, "
"Tarakandi Eidgah Mosque, "
"Amin Medicale Store, "
"Muslimbagh/ Thoda Bazar, "
"Anowar Garments, "
"Tushar confectory store, "
"Lab Aid Diagnostic, "
"Teen's Club, "
"Prime Lab Diagonistic and Consultaion Center, "
"N.N. Timber Traders & Sawmill, "
Mollick Para Road
"HydroLand Solution, "
"Mini Market Non-Stop, "
"Chilmari Degree College, "
"Warish Shah Masjeed, "
"boddho mondir, "
"Tareq-jiya Mor, "
"Thakurgaon Stadium, "
"Apan Benaroshi, "
"Telegati, "
"University of Rajshahi, "
"Banoful & Co, "
"Gov. jame mosque, "
"BSMRSTU playground, "
"ANDOKALYAN MARKET, "
"Sondrema Aloy, "
"Jaldia Junior High School, "
"South Point School and College, "
"Monowara garden, "
Talukder Bari Road
"Brac school in front of Altu Soddar house, "
"Rahman Laundry, "
"Talukder Enterprise, "
"Bushra Hospital, "
Raiyan Street
"Haji bari, "
"1 To 100 Shopping Center, "
"Telegati Degree College Playground, "
"Badarpur Sesdp Model High School, "
Pashcim Datter Metho Mamuner Bari Hote Halimer Barir Rasta
"Baitur Mamur Jame Masjid, "
"Chor vita madrasha, "
"PSD school, "
"K.L.Jubilee High School & College, "
"Ananna Fashion, "
"Al Baik Restaurant and Kabab Ghor, "
Petrol Pump Road
"Hamida Khatun Govt. Primary School, "
"Jalalabad restaurent, "
"Fazu Shah Bazar, "
Adhunik Hospital Road
"Paschim Raja Bazar Jame Masjid, "
"Shapla Koli, "
"-Auto Parts Market, "
"ISTIAKH ENTERPRISE, "
"Ashraf Manjil, "
"NetWorld, "
"Adinamura Majar, "
Char Kawkhali Alomgir Munshir Barir Samner Sako
"Sworonika photo studio & clothing cosmetics, "
"M. Borhan Uddin High School, "
"Jalil Bhaban, "
"KU Extended playing field, "
"Zakaria Telecom, "
Mor Old Bus Stand
"Bangla Biriani House, "
"Barlekha Upazila Health Complex, "
"Upazila Shilpokal Academy, "
"Marjal Auto Stand, "
"Mirpur Original 10, "
"Ambari degree College jame masjid, "
Jaula hati Road
Gumoti Beribadh Road
"Abdullah Enterprise, "
"Ambon Complex, "
"Ma babar dua confectionary, "
"Rakib general store, "
"Salma House, "
"Zakir Hang Barir Tubewell, "
"Abdul Khalek Khan, "
"IFIC Bank LTD., "
"Kamal Tea Store, "
"Masjid-E- Baitul Mamur, "
"Baitul jame Mosque, "
"Bangladesh Bank Colony Jame Mosjid, "
"Tajmahal Market, "
"MSF KTP Health Post 3, "
"Bhadgaon Road, "
warshi Road
"Dhaka Bank Ltd Bill Collection Booth, "
"3 no rajapur Govt. Primary school & cyclone shelter, "
"Nahar Community Center, "
"Infinity Mega Mall, "
Begum Bazar Road
"Dhanua Kazi Bari Mosque, "
"Atpara Platyround, "
"Rangamati, "
"A B N WAHID, "
"Shawkat Bhaban, "
"Bendra, "
"Tube well of Khorshed Master house, "
"nuruddin vila, "
"Boali High School, "
"ART ANGEL STUDIO, "
Hasan Nogor 3 no lane
"Sunapukur Petrol Station, "
"KHALIFAR HAT HIGH SCHOOL, "
"Ataikula Bazar Bus Stop, "
Kacha road from Nachorpur graveyard to sennagor
"99 + Gift Shop, "
"Mayer Doya Store, "
"Abdul Hasim Patwary Moktob, "
"Ekdanta, "
"Ukhiya Girls School, "
"Sana Medical hall, "
"Majhir Hat Bazar, "
"Dighinala Degree College, "
"Tanjin Pharmacy, "
"Nur-Pur Govt. Primary School, "
"Nogorer Hat, "
"Fatema pharmacy, "
"Masud Tea Stall, "
"Yeasin High School, "
"Al-Amin Clinic, "
"Tangail Pusti Sweets, "
"Five star chicken, "
Kalia to khulna road
"Satkhira Jela Stadium, "
"Bania Khamar Boro Mosjid Road, "
Baligaon-Tongibari Road
"Sotormokhi Bobon, "
Telekhali Bazar-High School Road
"Friendship primary school, "
"Cafe In Home, "
"METANGHAR B R I M HIGH SCHOLL, "
"Dighirpar Gobinda mondir, "
"BRAC School, "
"11NO. KACHU KHALI GOVT. PRIMARY SCHOOL, "
Road No.3
"Kuliarchar Bus Station, "
"Sattar Traders, "
"Dhakaiya Khandani Kebab, "
"Biroti Filling Station, "
"Elias Brothers Filling Station & CNG, "
"Rupsha Filling Station, "
"Chittagong Collegiate School and College, "
"Mehari, "
"Dutch-Bangla Bank ATM Booth, "
"Banishanta Union Council, "
Nurul Amin Khan Road
"Bangla Garden, "
"West Ankujanapara Madrasa, "
"Baitul Fazal Masjid orphanage, "
"Al Noor Jame Mosque, "
Garibullah Shah Bus Stop
"Dakshin Chandpur High School, "
"North Chaira Khali Football Ground, "
Nikli Internal Main Road
"Dhurail, "
"Global International School & College, "
"Al-Arafah Islami Bank LTD, "
"Dhaka mor, "
"Satbaria High School, "
"Nagorkanda Mosque, "
"Millennium Star School, "
"Choker Bazar Jame Mosjid, "
"Sheikh Lodge, "
"Ashar Alo Shishu Shikhon Kendro, "
"Regal cafe & Mini Chinese, "
Mach ghat to Bou bazar Enbankment
"Seba Drug House, "
"Priyo Prangan, "
"Shahedia Jame Masjid, "
Darunmullick Road
Road No.7
Road 9A
c
Laksam College Road
"Chowk Bazar, "
Mangser Goli
Govt City Collge Road
"BAU Library, "
"Matarbari, "
"Nayabazar Hich School, "
"Abul Kalamer Vhanga chura Dokan, "
"Three Star Computer, "
"Dica Tex Limited Unit 2 Ltd, "
"Seba medical center pharmacy, "
"Sarafat Motors, "
"Alal Pur, "
"Siddirganj Post Office, "
Green Square Road
"Bakila, "
"Fair Hospital, "
"Laki Shaj Beauty Parlor, "
7/A
"Ugo SKMEI, "
"Mosque of Ali Mia Ponchayet house, "
"Belaichhari, "
"Baytun Aman Jame Mosjid, "
"Shyamoli Cinema Hall, "
"College gate Diagnostic Center, "
"Bagdadiya Dawakhana, "
"Zafor Shikdarer Tubewell, "
"Gangutia, "
Notun Sarak
"Bus Stand SUST, "
"Red Crescent Youth Dhaka College, "
"Vorer Prottasa, "
"Tuku Tower, "
"Fatima Drug House, "
"AMIN VAI, "
"Lata Bitan, "
"Shop of Madrasa bazar, "
Chagra-Mithamoin Road
"Arju Electronic, "
"BIBIR HAT RASHIDIA HIGH SCHOOL, "
"Samabaya Bank Limited, "
"Millennium International School, "
"Hafezzi Hujur Kowmi school, "
Khagrachari - Dighinala Road
"Madhkhola, "
"Russell Store, "
"BURIR CHAR SYEDIA HIGH SCHOOL, "
"Muktarpur Govt. primary school, "
Auditorium Road
keokradon path
"Mollah Crockeris, "
Darabaz Bus Stand
"Dutch-Bangla Bank Limited Fast Track Patuakhali, "
"Bangla bazar Fatema khanom Mosque, "
"Premiere Hospital & Sheba Diagnostic, "
"Hazistore, "
"Kushtia Municipality Museum, "
"Mudir Dokan, "
"Al Amin Laundry, "
Baniachong-Shibpasha-Ajmeriganj Road
"Bonorupa, "
Road 15/A
"brac area office, "
"Barisal Heart Foundation, "
"Muzahid Store, "
"Ommrito Sen, "
"Crab Market, "
"Islami Bank Bangladesh Limited Torki Branch, "
"Jame Muszid, "
"Road 2, "
"Hajirbagh, "
"Baliakhora, "
"Karim Hotel, "
5/A
"Bakshadangi Govt. Primary School, "
Rajfulbari UP Road
"TNT Colony Residensial Area Road, "
"AUW Garden, "
"Phonix Leasing Finance, "
"Dhankhali, "
"Huzurer dokan, "
"Majed Steel, "
"Shadhona Owshdhaloy, "
"Ashiq Tea Stall, "
Jabbar Sarani
"Gobindo Mondir, "
"Vai Bon Library And Stationary, "
"Jame mosque in front of Shampur school, "
"Mohila Medical, "
"Shalbagan Bazar, "
"A B M Tailors, "
"Koyes & Brothers, "
"Fatima Pharma, "
"Shekh Rasel ICT Lab, "
Poamgaon - Monohorganj Rd Monohorganj
"Mosque Of Polpan House, "
Road of Char Gumani
Azimpur Chapra Mosjid Road
"Varaities Store, "
"Rayhan Store, "
"Jigatola Community Center, "
"Govt Haji Muhammad Mohsin College, "
"Southkhali Unione Health Family Planning Center, "
"SONARGAON IDEAL HIGH SCHOOL SONARGAON, "
Kacha Road South Ronogopaldi Connecting Road
"Premier University, "
"Purbo Noyatola Zame Maszid, "
Lakkhipur - Bhaberchar High School Rd
"Dohazari, "
"Perfection, "
"Tapurre itimkhana hafhijiya Madrasha, "
"sovrin kids park, "
"Hasanuzzaman Clinic, "
"Ohee Furniture, "
"Fokir bari jame mosjid, "
"Vivo, "
"Mtri Saya, "
"Nur Physiotherapist, "
"Pedrollo Water Pump Sales Center, "
"Palki Restaurant, "
"Krishibid rice, "
"Hasanpur Road, "
"Furniture House, "
"Ratna Laundry, "
"Shyamoli Textile Engineering College, "
Road from pucca road to Dottopara new hati
Sreedhara Road
"Rupkotha, "
"NRB Commercial Bank Limited ATM, "
"Truc stand, "
"Neuron pharmacy, "
"Dantmara A.B.Z Sikder High School, "
"Popular Life Insurance, "
"Allahr daan Hotel & Restaura, "
"GrameenPhone Centre, "
"Dogachi Village, "
"Bahaddarhat Jame Masjid, "
"Zahidul Tea Stall, "
"Chander Hat Girls High School, "
Chawra 3no. ward road
"Bulkon, "
"Concord Park Lane, "
"Gulbodon Darbar Sharif, "
"Boirati Madrasah, "
"GAZARIA SECONDARY SCHOOL, "
"Diamond Furniture House, "
"Shikha Diagnostic Center, "
"Temukhi Micro Bus Stations, "
Line 17
"Natinal monument, "
"Tasin Store, "
"Kotha Cosmetics, "
"Sharifpur Madrasha, "
"Brijondernagar, "
"Bangladesh News Agency BSS, "
"Mohanagar Army Camp, "
"Mahajan, "
Pulerghat - Nikli Road
"Prime Hospital, "
"Kismat Biriyani House, "
"Vagba super market, "
"Anchal Sharee, "
"Sheikh Hasina Hall, "
"Mashila Govt Primary School, "
"272 No. Vobanda Govt. Primary School, "
"Shanta Pinnacle, "
Road No. 4
Road
"Talha Sweets & Restaurent, "
Kacha road in front of Sohid sordar house
"Lili korteg, "
"Mashimpur Khalpara Jama Masjid, "
"Babuchara Mukh High School, "
"Foysal Tea Stall, "
"House of Sir Prafulla Chandra Roy, "
"Purrb Patakata Govt Primary School, "
Kazi Alauddin Road
"Foriderpar Govt. Primary School, "
"Re-Genious School Playground, "
Amin Academy Goli
"Segun Bagicha Concord, "
Raj Laxmi Over Bridge Uttara
"DCC Miron Jolla Staff Quarter, "
"3No Mohesshoripur Union Parishad, "
Baroikhali Sutalori kather Pul
Lily More
"RUET Central Playground, "
"Tokhon Villa, "
"Moshinda Chechua High School, "
"Comilla Store, "
"Birahimpur Uttar Para Mosque, "
12 no.
Road from Koysor Mia house to Akbor house
"Jalsukha, "
"Sorojgong Post Office, "
"Gov't Women's College, "
"Dumrai Bazar, "
Ibrahim Munsi Bari Songlogno Culvert
"FMCH Masjid, "
"Amar Ekushey, "
"ClinicBari Eye Care, "
"Khan Pharmacy - 2, "
PC Culture Road 2
MCH Roads SGR 2
"Eastern Panthagreen Building 3, "
"Hotel Abakash, "
"Shakin Varieties Store, "
"Chalaban Government Primary School, "
"Gamaritola, "
"Sherpur B, "
"Feni Govt. Pilot High School Field, "
"Liakat Pharmacy, "
"Kasturi Community Center, "
"Leda D, "
"Sadia Store, "
"Kashiani G.C pilot High School, "
"Nilphamari Govt. college, "
"Chan Miar Hat Nurani Madrasha, "
"Ma Medical, "
Birulia-Akran Rd
Lohacura Bridge
"Medinova Medical Services, "
"Bancharampur Road, "
"Bardarban Shishu Academy, "
"Pakutia B.C.R.G High School, "
"Shahjalal Islami Bank Lt, "
"Raisa Video Games, "
"Yahfad Filling Station, "
"Balijura Bazar, "
"Vhuiyan Departmental Store, "
"Khan and Brothers, "
"Tea Museum, "
"13, "
Half kacha road Buruburiya
"University of Dhaka Institute of Leather and Technology, "
Barrage for haor protection under Modhurapur briadge
"Husain Plaza, "
Magura - Faridpur Highway
"My One Showroom, "
"BTCL Exchange Khulna, "
"Shelter Project pace 2, "
"Sonkramok Badhi Hospital Jame Mosque, "
"Baitul Mokarram Market, "
"Akboria Abasik, "
"Building 1 Eastern Panthachaya, "
"City Pharmecy, "
"Calitabunia Bazar, "
Sreenath Chatargee lane
"Assembly Ground BCBHS, "
"NAZIRPARA JAME MOSJID, "
"Zannat Panjabi, "
"ABUL HOSSAIN GIRLS HIGH SCHOOL, "
"City Diagnostics, "
"Govment Hospital, "
"Katabon Boi ghar, "
"Arman store, "
"Banani Club, "
"Hazi Chader Ali Khan Jame Masjid, "
"Golabganj Upazila Health Complex, "
"Camp 14, "
"Bonorupa Bazar, "
"Upazila Complex Road, "
"SAARC Law Chamber, "
"Memorial Christian School Primary, "
"Tailor, "
"CNG Filling Station, "
"Hotel Al Amin, "
"Dipartmental Stor, "
"Fu Wang Sharma, "
"Masud Trading Corporation, "
Atlia to terokhada road
"Soheal Motors, "
"Purbacol Nursery, "
"Hazi Abdur Razzak Vaban, "
"London Touch Menz Salon & Spa, "
"Shayek Library and Computer Printer, "
"Tower Trade International Ltd, "
"Jolshiri Restaurant, "
Bogra - Naogaon Highway
Shaheed Buddhijibi Bridge Aproach Road
K C Nag Road
"Car Inspection Station., "
"Dhaka Bank ATM, "
"Chor vita Vasoman school, "
"Dutch-Bangla Bank Limited- mb office, "
South Tutpara Aam Tola Road
"Thakurer Kacari SarboJonin Durga Mondir, "
"Smart and Best, "
"Calectoret Girls' High School, "
"EBL 365, "
"Variant Technology, "
"Latif Market, "
"Prince, "
"Vagba morol para jame mosji, "
"Madurpalta Gobind Temple, "
"Chandpur Sadar Hospital, "
"Binary IT and Training Center, "
"Patharkhali Darus Salam Jame Mosque, "
"Balughat Mosque, "
"Menz Club, "
"Amir Plaza, "
"Cyber Bridge, "
"Narsingdi District Jail, "
path general
"Dutch Bangla Bank Someshpur Branch, "
Abdullahpur Bus Stop
"Mens World, "
"B.K. Ganguli Lane Kayet tuli, "
"Dhala, "
"Orix Cage, "
"Kushtia Zilla School, "
"Bancharre bazar, "
"Bachelor Point, "
"Narayanganj Ferry Terminal, "
"pankhali office bazar and mosjid, "
"Hossaipur Municiple Office, "
"Aktarujjaman, "
"Liton Library, "
Kolikata Bari Road
"Navaran Pashu Haat, "
"Bakcanda, "
"Rupali Stationary, "
"Bismillah Varieties, "
"M/S. Sazzad Hossain And Sons Filling Station, "
"Suti V.M. Pilot Model High School, "
"Playground Dakpara, "
"Banggha bari khelar math, "
"Charbhadrasan Upazila, "
Rajani Bose Lane
"City Inn Ltd, "
"M.D.R High School, "
"Lova Electronics, "
Jamalganj - Durgadoho
"Ekota Hospital, "
"Abbas Uddin Sarkar Bari, "
Mohanpur Dargah para Road
"Lake Front Concord, "
Vatalia Road
"Hatirpool Tiles And Ceramics Market, "
"Patiya Porasava Office, "
"Shapchari High School, "
"Baitul Moharram Jarye Mosque, "
"B M Door House, "
"S. S. Dental Care, "
"Kadamtala Bazar, "
"Rabeya Tiles, "
"Lord Krishna Temple Patrikul, "
"Masjid E Gausul Azam, "
"Dakbanglo Market Netrokona Sadar, "
"Homiopathy Pharmacy, "
"SKYTONE....electronics, "
"Mahbub Medical Hall, "
"Bata Showroom, "
"Kumarkasha Moddho Para Jam-E Masjid, "
Jahurul Islam Avenue
"TOMAL'S SERVICING CENTER, "
"Zenith International, "
"Bgb Guest House Lalmonirhat, "
"Al-Ahsan Diagnostic Hospital, "
"Aziz Mridha Barir Jami Mosque, "
"Tikarghat Chunapathor Khoni Secondary School & Collage, "
"Kazipara Jam-e-Masjid, "
"Bedkashi Darussalam Jame Mosque, "
"N R Fashion, "
"Bismillah hotel, "
"Faridganj Upazila Health Complex, "
"Ramakrishna Mission, "
"Mim computer and photostat, "
"Rony Dynamo Motors, "
"Dakkhin Digholdi Masjid A Nabobi Jame masjid, "
"Rajmoni villa, "
"Food Craze, "
"Auliabad Play Ground, "
"SURMA HIGH SCHOOL, "
"Retail Outlet, "
"EPI Tika Kendra Chowkider Bari, "
"Nizambagh Jame Mosque, "
"Uttara Cinema Hall, "
"Showkat Kabab Ghar, "
"Porda Bitan, "
"Tube-well of South Lotar Kandi Govt. Primary School, "
"Lal Bag Kella School, "
"Shapla Pond, "
"Bondhu Electronics, "
"Adam's Corner Barbar Shop, "
"MP Hostel 2, "
"DSS Daily Super Shop, "
"Sign Board Bazar, "
"Deco Home, "
"Sumaiya Mension, "
"Dacca Automatic Bricks LTD Mosque, "
"Borkat bari, "
"Faculty of Pharmacy, "
"Memon-2, "
"Torulata Ladis, "
"ElectronThemes, "
"Shikarikanda, "
"Boalia Paschim Para Eidgah Maidan, "
"IUT South Cafeteria, "
"Bukhara, "
Kandipara Rd
"Shahanara General Store, "
"Momo Super Shop, "
Road beside Union Parishad
"Anam Adarsha Khadya Vandar, "
"Great Wall Shopping Mall, "
"Narail Govt. Primary School, "
"Matuail Sub Post Office, "
"Oni Paint & Chemical, "
Main Road
"Min Hawlader Gori bari Chowrasta, "
Jonaki Cinema Hall Lane
"Secondary Transfer Station, "
"Vagba govt primary school, "
"Azimpur Colony Playground, "
Block B-C Service Road
Sub Road
"Kazi Clothes, "
"Upazilla Parishad Mosque, "
"Dihitola Jame Masjid, "
"Poranganj Post Office, "
"Ekota Diagonestics Center, "
"Hassan Al Banna Academy., "
"Naogaon General Hospital, "
"confidance toweeer jame masjid, "
"S1, "
"Jamuna Future Park, "
"Has in a vila, "
"Dinajpur Zilla School, "
"Bhanga Takia Bazar, "
"Chondopur Government primary School, "
"Purbo Nankora Khille bari Jame masjid, "
"Grameen Bank Shekherchar Branch, "
"Abdul Malek Sordar, "
"Hatem Khan Road, "
"Apscl Stadum, "
Road 49
"Sarishabari Honours College Playground, "
"De Mazenod Church, "
"Mission La Bella Resort, "
"Tubewell Kalidash aster, "
"Patuli, "
"Seikh Bari, "
"Lovely Bus Stop, "
"faruk enterprise, "
"Bandar Upzilla Health Complex Jame Masjid, "
Guratipara Road
"Confidents Dental, "
Local path
"Notun Kuri Coaching Centre, "
Katcharasta Gobindobari Theke Chawkidar Bari Porjonto 1 5 km Rasta
"Shoronkhola Degree Collage, "
"Barail, "
"Genetic Plaza, "
Jahan Box Lane
"Kohinur Aluminiuam, "
"Lokman Enterprise, "
"M A Rahman, "
"Boro Kalibari, "
"Officer's Club, "
"BHASHAN CHAR S. M. SECONDARY SCHOOL, "
Kerani Haat Bus Stop
"Shel Tech, "
"Yo Momo, "
"Meghula Soccer Field, "
"Mosharof Cosmetics, "
"Shaheb Nagar Primary School, "
"Andharizhar Bazar, "
"Kabi Nazrul High School, "
"Suraiya Telecom And Laundry, "
"Childrens Park, "
"Butcher, "
"Sylhet Metropolitan Police Office, "
"Bismillah Restarant, "
"Hotel Al Shams, "
"Rahmatnagar Jame Masjid, "
"Monir Medical Hall, "
"Puran Bazar - Horina Ghat Road, "
"Tube well of Rari bari, "
"Jolil Tower, "
Hajigonj-Chandpur Rd
"Princess Palace Beauty, "
"Mehadi Community Center, "
"Entrance, "
Soling Mor Bus Stop
Yusuf Hawladerer Bari Hoite Manik Forajir Barir Road
"Hadda police camp, "
Bhodro Goli
Bahaddarhat Bus Stop
"Alfa Medico, "
"Rasulbag Jame Masjid, "
"Fotepur Madrasha masjid, "
"Zahir AC Market, "
Modern Mor Bridge
"Shipaipara Bazar, "
"Shibpur Upazila Post Office, "
"Bara Keshtola High School Shaheed Minar, "
"Babuganj Model Primary School, "
"Chowdhury Hasan Store, "
"Ramna PS, "
"Agrabad Govt. Colony Girls High School Playground, "
"Abdullah Cycle Store, "
"Mehoman Travels and Tours, "
"Jain Medical, "
"Uttora Bank Limited, "
Lohacura Gramer Rasta
Halim Sagor road
"Unihealth Specialised Hospital, "
"Masjid-e-Noor, "
"KFC & Pizza Hut, "
"Baitush Sharaf Kamil Madrasha, "
Sultangonge Rayer Bazar Road
"Mudarpur Bazar, "
"Makrichara Tea Garden - Patrikul Road, "
"Shahidullah Hall Now Ansar Battalion Camp, "
"Independent Telecom, "
"Sahjahan Villa, "
"Shonargao House, "
"Madhabpur Bazar, "
"Razer, "
"Local market beside Husainiya mosjid, "
Road no. 1
"Chanchari, "
"Gopalpur Ghat, "
"Amir jomadar ar barir pase mosjid, "
"La Appetite, "
"Eitbaria Govt. Primary School, "
"Savar Super Markt, "
"wasa, "
"Wheels Solutions, "
Hashem Khan Road
"Primary school plus tubewell, "
"Heronz : furnishing-decor-& more, "
"Mobarak Manjil, "
"Civil Surgeon Office, "
"Fultola, "
"Bakshanagor School Playground, "
"Rang Bangladesh, "
"Patnitala, "
"Bogi Shoronkhola Community Clinic, "
"First Security Islami Bank ATM, "
"Hotel Nemai, "
"Sundarban Courier Service Pvt. Ltd, "
"Satgram Akata High School, "
"Saim Drug House, "
"Ashik Bus Counter, "
"Radio Next 93.2FM, "
"Betel nuts garden of Mofiz master, "
Suhuri Bridge
"Shireen, "
"Ahammad Uddin Shah Shishu Niketon School & College play ground., "
"gazi para jame mosjid, "
"Pinon SHARI, "
"Mayer Doa General Store, "
Malar Gram Road
"Kawkhali Launch Terminal, "
"Hotel Holiday Inn, "
"Akboria Terminal Cafe, "
"Maymuna Medicine Hall, "
"Bongaon, "
"Sam'S Monjil, "
Log Gate Bus Stop
"MOTIRHAT HIGH SCHOOL, "
"Emadpur Bazar, "
"SUROTUNNSA MEMORIAL HIGH SCHOOL, "
"Jamai Bazar Mashjid, "
"117 No Birshing Govt. Primary School, "
"Swadhinata Smrity Mural, "
"Jashai High School, "
"Takeout, "
"Felabunia Bazar Jame Masjid, "
"BRAC Bank Head Office, "
"Glory School & College, "
Natun Bazar-Betka Chowrastha Road
"Majesty Premium Saloon, "
"Bera Government B. B. Primary School, "
"Alif-Laam-Meem Tower, "
Jessore Road
"Shahid Minar Park, "
"Ad Din Akij Medical College Hospital, "
"Khan Supermarket, "
"Shatorupa Shoes, "
"Janani General Store, "
Satarkul Road
"Char Bhadrasan Pilot High School, "
"Tripani Vidhapith High School, "
Taltola Bazar Road
"Toifa Furniture, "
"Army Field, "
"kali mondir, "
"Forkania Madrassa at Goni Howladar house, "
"building 8, "
"Sararpar High School, "
"M/S Kusumba Filling Station, "
"Qutar International Madrasha, "
Jaulahati Road
"Bureau Veritas Bangladesh Private Limited, "
"Nipun, "
"I. D.F SOLAR OFFICE, "
New Market Circle
"Mojammel Tea Store, "
"Md. Samsujjoha, "
"Tubewel beside Miyar Hat Bazar, "
"Iccha Gyan Coaching Center, "
"madrasha goli, "
Colonel Jones Road
"Alhaz Alfata Jame Masjid, "
Dakbanglo Ghat Road
"Azim Haowla Jame Masjid, "
"Shoha Pharmacy, "
"Protisruti, "
"Bishaykhaly Madrasa Mosque, "
21
deluti 31 no holder switch gate road
"Deshbandhu Sweetmeat and Restaurant, "
"Suchi Fashion House, "
"Jamalpur Highschool, "
"Shree Shree Durga Mata Temple, "
"BMTF Footware Showroom, "
"Shaharsree Jame Masjid, "
"Afrin Pharmacy, "
"Source Edge Ltd, "
"OTITHI RESTAURANT, "
"Daspara, "
"Hatem Ali Palwan Bari Jame Masjid, "
"Shailkupa, "
Ex Commissioner Mahabubul Hoque Chy Lane
"Kendu Police Station, "
"DOULOT PUR RAHMANIA D S ALIM MADRASHA, "
"Daspara school building 2, "
"Barashat High School, "
Kacari Road
"BADHAN Fashion, "
"Rohmania Defartmantal Store, "
Pologround Road
"molla bari middle area jame mosjid, "
"Mim Hijab Fashion, "
To Senate Bhaban
Vhoradoba Bus Stand
"Anondo Bazar, "
"Fatehpur Government Primary School, "
"Koyerdara Agrani Club, "
"Urmi Beaut Parlor, "
"Chobi Ghor Shopping Complex, "
"Hotel De Crystal Crown, "
"Mariom Pharmacy, "
"Family Dot Bazar Super Shop, "
"Infinitch Tradng, "
"Sheba Computer Center, "
"Nagoria Bari Masjid, "
"Santir hat bazar, "
"Drug House, "
"Khulna Diabetic Hospital, "
"Azimuddin bazar, "
"Bishawnath temole, "
"Palash, "
"Confidence Borga Power Plant, "
"Razzak Mriddha Barir Samner Masjid, "
"Dada Shoes, "
"Dhaperhat Bazar, "
"Dhaka Pre Laboratory High School, "
"Ujjal tea stall, "
"Well Heart Pharma, "
"Gazi Library, "
"Islam Vila, "
"Jewelry Shop, "
Road-01
"M/s Tanin General Store, "
"Global Money transfer & Podokkep Office beside UP complex, "
"Bismillah Sanitary And Electric Store, "
Jamalganj-Paharpur Road
"Muladi Bazar, "
"Baitunnoor Jame Mosque, "
"Molla Hardware & Sanitary Store, "
Allahu Building Goli
"Prince Lungi, "
"Bank Asia Basundhara Branch, "
A K Khan Circle
"Deep tube well of Chaltatola bazar, "
"Market of Forid chairman, "
"Progoti Mesical Hall, "
